id;name;date_of_birt;address
1;copying COM;2021-05-11;salmon
2;Cotton knowledge;2021-05-10;Legacy Guinea International
3;Regional transmitter District;2021-05-11;upward-trending parallelism Buckinghamshire
4;turquoise;2021-05-11;Falls Borders
5;Investment Refined Incredible;2021-05-11;Avon
6;Salad;2021-05-10;Loop primary JSON
7;generate;2021-05-11;utilisation Borders
8;compress invoice cyan;2021-05-10;Virgin Corporate
9;copy;2021-05-10;human-resource deposit
10;Metrics;2021-05-10;XSS Regional edge
